route_id,route_name,stop_id,stop_sequence,latitude,longitude,stop_name,distance_to_next,cumulative_distance,estimated_travel_time_min,route_segment,travel_time_category,distance_category,condition
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,24,24,-1.96918,30.08676,Rwandex,0.43846539354663017,18.883053345330485,1.8128498370820614,Mid,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,25,25,-1.96752,30.08285,Kwa Mironko2,0.38942654295921697,19.321518738877113,1.5372402774888547,Mid,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,26,26,-1.96489,30.08039,KN 3 Rd_6,0.4105074588710369,19.71094528183633,1.5676542287237987,Late,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,27,27,-1.96249,30.07761,Volta Super1,0.5670043843590283,20.12145274070737,2.3102510414879602,Late,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,28,28,-1.9573,30.07608,Ku Mazi1,0.8097797792145648,20.688457125066396,3.052218725841126,Late,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,29,29,-1.95026,30.07484,Chez Rasta,0.40280499999193636,21.49823690428096,1.594661984222368,Late,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,30,30,-1.94667,30.07381,One Love,0.7900941585456547,21.901041904272898,3.0788658652830603,Late,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,31,31,-1.94101,30.06934,Forex Form_Poids Lourd,0.7013861643905552,22.69113606281855,2.7768657968207675,Late,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,32,32,-1.93686,30.06433,Kigali Gaz_Kinamba,0.49966202171078533,23.392522227209106,1.7560660240263481,Late,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,33,33,-1.93549,30.06045,Kinamba Bridge,0.7780395992923076,23.892184248919893,2.9896896869625427,Late,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,34,34,-1.93596,30.05346,Handicap HQs,0.5292249321439368,24.6702238482122,2.145700270765323,Late,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,35,35,-1.93841,30.04907,Ku Magare,0.5674220644607241,25.199448780356136,2.09282845754621,Late,Short,Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,36,36,-1.94073,30.04475,Nyabugogo Bus Park,0.01,25.76687084481686,0.0,Late,Very Short,Very Close,rush_hour
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,1,1,-1.97922,30.22352,Kabuga Bus Park1,0.9942008667886283,0.0,1.8626065133993484,Start,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,2,2,-1.98699,30.21955,Masaka Hospital,3.3130236255076158,0.9942008667886283,6.40528648394985,Start,Medium,Far,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,3,3,-1.99804,30.19164,Masaka Bus Terminal,0.2493210244837344,4.307224492296244,0.46368034477606823,Start,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,4,4,-1.99587,30.19155,Masaka Rd_2,0.34507390105698327,4.556545516779979,0.6156585707956449,Start,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,5,5,-1.99302,30.19111,Masaka Health Centre,0.38201159156299097,4.901619417836962,0.7421511152099981,Start,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,6,6,-1.99001,30.19285,Masaka Rd_1,0.5508404081847201,5.283631009399953,1.0701415682291626,Start,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,7,7,-1.98532,30.19108,At 19_Inyange1,1.2658688111489529,5.834471417584672,2.2526012771507506,Start,Short,Medium,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,8,8,-1.9792,30.18248,KK 3 Rd_15,0.22753143334497505,7.100340228733625,0.4207167208852197,Early,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,9,9,-1.97749,30.1815,Kibaya Minagri,0.5224000154854609,7.3278716620786,1.0271183167848403,Early,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,10,10,-1.97365,30.1786,Bus Route 107_3,0.42510856645169587,7.850271677564061,0.7946511494725821,Early,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,11,11,-1.97129,30.17572,Mulindi1,0.6977259973268104,8.275380244015757,1.371410714323992,Early,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,12,12,-1.96891,30.16975,KK 3 Rd_11,0.7372427560302977,8.973106241342567,1.449254130019914,Early,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,13,13,-1.96715,30.16319,At 15 Ndera1,1.7960182745647255,9.710348997372865,3.4071351787945887,Early,Short,Medium,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,14,14,-1.95801,30.1501,SEZ B2,1.1840828100994487,11.50636727193759,2.5139317976322877,Early,Short,Medium,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,15,15,-1.95409,30.13899,Kigali Parents School2,0.7789278185422,12.690450082037039,1.6367000683167685,Early,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,16,16,-1.95748,30.13211,La Parisse1,0.9892377466119405,13.46937790057924,1.9542798324156487,Mid,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,17,17,-1.96272,30.1246,Ku Cyamutzig,1.0160723227778086,14.45861564719118,2.0549233770419315,Mid,Short,Medium,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,18,18,-1.96011,30.11533,Prince House2,0.3784020483685685,15.47468796996899,0.7152929872049879,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,19,19,-1.9612,30.11216,Alpha Palace Hotel,0.3781655392702578,15.853090018337559,0.7606104661675733,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,20,20,-1.96281,30.10898,Good Year2,0.9357419593650365,16.231255557607817,1.9331331146290944,Mid,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,21,21,-1.9682,30.1017,Sonatubes,0.45054302448746936,17.166997516972852,0.805978534660801,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,22,22,-1.96891,30.09799,Bralirwa3,0.4201088599662428,17.617540541460322,0.8158186368196415,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,23,23,-1.96807,30.09426,Amasezerano,0.8454039439039219,18.037649401426563,1.6177135078512999,Mid,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,24,24,-1.96918,30.08676,Rwandex,0.43846539354663017,18.883053345330485,0.9064249185410307,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,25,25,-1.96752,30.08285,Kwa Mironko2,0.38942654295921697,19.321518738877113,0.7686201387444274,Mid,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,26,26,-1.96489,30.08039,KN 3 Rd_6,0.4105074588710369,19.71094528183633,0.7838271143618993,Late,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,27,27,-1.96249,30.07761,Volta Super1,0.5670043843590283,20.12145274070737,1.1551255207439801,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,28,28,-1.9573,30.07608,Ku Mazi1,0.8097797792145648,20.688457125066396,1.526109362920563,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,29,29,-1.95026,30.07484,Chez Rasta,0.40280499999193636,21.49823690428096,0.797330992111184,Late,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,30,30,-1.94667,30.07381,One Love,0.7900941585456547,21.901041904272898,1.5394329326415301,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,31,31,-1.94101,30.06934,Forex Form_Poids Lourd,0.7013861643905552,22.69113606281855,1.3884328984103838,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,32,32,-1.93686,30.06433,Kigali Gaz_Kinamba,0.49966202171078533,23.392522227209106,0.8780330120131741,Late,Very Short,Very Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,33,33,-1.93549,30.06045,Kinamba Bridge,0.7780395992923076,23.892184248919893,1.4948448434812713,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,34,34,-1.93596,30.05346,Handicap HQs,0.5292249321439368,24.6702238482122,1.0728501353826616,Late,Very Short,Close,weekend
Kabuga_Nyabugogo_001,Kabuga - Nyabugogo,35,35,-1.93841,30.04907,Ku Magare,0.5674220644607241,25.199448780356136,1.046414228773105,Late,Very Short,Close,weekend
